catalogNumber,assigned_tier,ucs_score,solidity,midrib_angle,symmetry_reconstructed,mask_path,leaf_index,petiole_length_px,lamina_length_px,status
00504662,3,0.8808,0.6749,88.13,FALSE,data/masks/tier3_open_curves/00504662_curve_3.csv,3,1.0,65.01,TIER_3_OPEN_CURVE_EXTRACTED
00504662,1,0.8868,0.8857,27.65,FALSE,data/masks/tier1_intact/00504662_leaf_4.png,4,43.05,4.47,TIER_1_INTACT_EXTRACTED
00504662,2,0.8914,0.6112,-31.61,TRUE,data/masks/tier2_reflected/00504662_reflected_5.png,5,129.53,14.42,TIER_2_SYMMETRY_REFLECTED_LOWER
00504662,2,0.8171,0.5757,-65.43,TRUE,data/masks/tier2_reflected/00504662_reflected_6.png,6,42.95,7.62,TIER_2_SYMMETRY_REFLECTED_LOWER
00504662,2,0.8947,0.4844,-73.64,TRUE,data/masks/tier2_reflected/00504662_reflected_7.png,7,90.96,10.2,TIER_2_SYMMETRY_REFLECTED_LOWER
00504662,2,0.7638,0.5724,-88.32,TRUE,data/masks/tier2_reflected/00504662_reflected_8.png,8,15.03,48.04,TIER_2_SYMMETRY_REFLECTED_LOWER
00504662,2,0.7657,0.4904,86.9,TRUE,data/masks/tier2_reflected/00504662_reflected_9.png,9,64.07,9.0,TIER_2_SYMMETRY_REFLECTED_LOWER
00504662,1,0.9112,0.7925,-84.25,FALSE,data/masks/tier1_intact/00504662_leaf_10.png,10,33.0,50.01,TIER_1_INTACT_EXTRACTED
00504662,2,0.8368,0.5324,77.74,TRUE,data/masks/tier2_reflected/00504662_reflected_11.png,11,90.24,10.2,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.852,0.4454,74.84,TRUE,data/masks/tier2_reflected/00543348_reflected_0.png,0,43.42,13.6,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.9229,0.4981,-79.71,TRUE,data/masks/tier2_reflected/00543348_reflected_1.png,1,123.08,63.89,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.877,0.692,-60.23,TRUE,data/masks/tier2_reflected/00543348_reflected_2.png,2,77.39,8.94,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,1,0.936,0.8532,-84.79,FALSE,data/masks/tier1_intact/00543348_leaf_3.png,3,18.68,29.12,TIER_1_INTACT_EXTRACTED
00543348,1,0.8861,0.8298,82.42,FALSE,data/masks/tier1_intact/00543348_leaf_4.png,4,23.35,35.51,TIER_1_INTACT_EXTRACTED
00543348,1,0.9615,0.7279,88.88,FALSE,data/masks/tier1_intact/00543348_leaf_5.png,5,54.04,80.06,TIER_1_INTACT_EXTRACTED
00543348,2,0.8319,0.5481,88.99,TRUE,data/masks/tier2_reflected/00543348_reflected_6.png,6,57.22,46.17,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.8069,0.6196,-2.35,TRUE,data/masks/tier2_reflected/00543348_reflected_7.png,7,42.19,5.0,TIER_2_SYMMETRY_REFLECTED_LOWER
00543348,2,0.8282,0.6149,-84.03,TRUE,data/masks/tier2_reflected/00543348_reflected_8.png,8,3.0,66.0,TIER_2_SYMMETRY_REFLECTED_UPPER
00543348,2,0.8372,0.795,49.79,TRUE,data/masks/tier2_reflected/00543348_reflected_9.png,9,44.55,5.0,TIER_2_SYMMETRY_REFLECTED_UPPER
